id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
37Sem719CkxG4OT5hhoHuz,11° Instrumental,7,0.616,0.152,3,-17.259,1,0.0607,0.994,0.814,0.124,0.284,80.986,188266,4,mem_4
3LPg6mpXGsOtMame2M6Bos,봐,18,0.516,0.78,5,-4.483,0,0.213,0.314,0,0.157,0.34,172.172,200439,4,mem_4
3MpwwsTFVtbEunR1dUMJUc,DNA (Pedal 2 LA Mix),57,0.488,0.955,1,-3.44,0,0.134,0.0352,0,0.301,0.48,129.972,247483,4,mem_4
3QxWTqyIT4O9bokIZlNDpo,小半,57,0.555,0.4,7,-8.211,1,0.0393,0.182,0,0.0767,0.374,164.952,297240,3,mem_4
3V23oYrFVc5VW1Ftq2wPCu,YES or YES,74,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.71E-06,0.166,0.735,137.982,237685,4,mem_4
3XEjswcSomkIsgbuNunFmQ,all of my life,59,0.499,0.274,5,-7.53,0,0.0349,0.877,0,0.11,0.125,67.817,249279,4,mem_4
3cn6cFQYrUBkKOX8kQ6oiN,FAKE LOVE (Rocking Vibe Mix),60,0.463,0.804,2,-4.009,0,0.0391,0.0573,0,0.432,0.352,154.913,238494,4,mem_4
3dtp75StyEK5XeKraS5KiI,Now That I Found You,61,0.63,0.759,0,-5.148,0,0.0475,0.0154,0,0.0851,0.597,124.24,200320,4,mem_4
3mCBI7qRyJGfIeqMG3od3F,Hatred Farewell,33,0.68,0.356,7,-5.397,1,0.0344,0.853,0,0.129,0.443,107.444,234482,3,mem_4
4TWHREp4wv0TmewqR6rgRd,STAY,68,0.628,0.433,1,-6.808,1,0.0383,0.569,7.71E-06,0.104,0.343,88.074,230400,4,mem_4
4eVkn18rN4GguUWOsR6Use,Answer : Love Myself,71,0.569,0.793,1,-3.749,1,0.0405,0.189,0,0.111,0.45,108.048,251280,4,mem_4
51UAm8F9u16skm1R1ckMwr,I'll Be Your Girl,50,0.671,0.659,10,-5.533,1,0.0404,0.00794,0.000369,0.122,0.742,152.016,178707,3,mem_4
5N9tuwaNwTxPn8f2j4IoXU,Colorful,20,0.565,0.918,7,-2.422,0,0.054,0.173,2.36E-06,0.192,0.686,172.03,212013,4,mem_4
5N9tuwaNwTxPn8f2j4IoXU,Colorful,20,0.565,0.918,7,-2.422,0,0.054,0.173,2.36E-06,0.192,0.686,172.03,212013,4,mem_4
5WpHiEENjQz9OOYQzm63s2,You And I (Inst) (Part.5),16,0.478,0.835,2,-5.882,1,0.0391,0.00247,0.299,0.0918,0.568,179.952,169273,4,mem_4
5ovKXoPXsaCydETxiqbt80,Julien,60,0.754,0.506,9,-5.392,0,0.0929,0.326,0,0.0716,0.587,118.99,234520,4,mem_4
5sbooPcNgIE22DwO0VNGUJ,POP/STARS,77,0.566,0.769,7,-4.342,1,0.0872,0.0183,0,0.108,0.385,170.036,191100,4,mem_4
5yqCWC2OUFDJHv1F8zG1sO,My First Kiss Instrumental,3,0.71,0.759,1,-5.548,1,0.0434,0.0525,0.421,0.0557,0.778,145.056,195843,4,mem_4
