id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0pMfPzdRiPAoSM9yWF4OcT,Golden Hour,0.611,0.555,6,-6.372,0,0.0274,0.0952,0,0.11,0.413,88.969,audio_features,0pMfPzdRiPAoSM9yWF4OcT,spotify:track:0pMfPzdRiPAoSM9yWF4OcT,https://api.spotify.com/v1/tracks/0pMfPzdRiPAoSM9yWF4OcT,https://api.spotify.com/v1/audio-analysis/0pMfPzdRiPAoSM9yWF4OcT,198453,4,mem_3
04MoJkJzCoU9ukeewv5Vzu,Happy & Sad,0.642,0.657,10,-5.246,1,0.0333,0.249,0,0.111,0.658,90.0,audio_features,04MoJkJzCoU9ukeewv5Vzu,spotify:track:04MoJkJzCoU9ukeewv5Vzu,https://api.spotify.com/v1/tracks/04MoJkJzCoU9ukeewv5Vzu,https://api.spotify.com/v1/audio-analysis/04MoJkJzCoU9ukeewv5Vzu,243187,4,mem_3
7oqftogUN82Q7VNy2TmTJW,MOOD 4 EVA (feat. Oumou Sangaré),0.608,0.709,7,-6.175,1,0.374,0.119,0,0.337,0.709,105.742,audio_features,7oqftogUN82Q7VNy2TmTJW,spotify:track:7oqftogUN82Q7VNy2TmTJW,https://api.spotify.com/v1/tracks/7oqftogUN82Q7VNy2TmTJW,https://api.spotify.com/v1/audio-analysis/7oqftogUN82Q7VNy2TmTJW,272069,4,mem_3
1ymvyDsiAUbzEhmSkfCSYh,Hakuna Matata,0.53,0.584,0,-11.891,1,0.218,0.274,0,0.158,0.575,81.854,audio_features,1ymvyDsiAUbzEhmSkfCSYh,spotify:track:1ymvyDsiAUbzEhmSkfCSYh,https://api.spotify.com/v1/tracks/1ymvyDsiAUbzEhmSkfCSYh,https://api.spotify.com/v1/audio-analysis/1ymvyDsiAUbzEhmSkfCSYh,251520,4,mem_3
7MtVPRGtZl6rPjMfLoI3Lh,Fuck it I love you,0.532,0.452,9,-10.654,0,0.043,0.892,0.00113,0.127,0.203,129.895,audio_features,7MtVPRGtZl6rPjMfLoI3Lh,spotify:track:7MtVPRGtZl6rPjMfLoI3Lh,https://api.spotify.com/v1/tracks/7MtVPRGtZl6rPjMfLoI3Lh,https://api.spotify.com/v1/audio-analysis/7MtVPRGtZl6rPjMfLoI3Lh,218288,4,mem_3
6q8onrzcka32nGVrnWYGBQ,Lovers,0.599,0.518,8,-7.902,1,0.0333,0.479,0.00435,0.136,0.455,95.031,audio_features,6q8onrzcka32nGVrnWYGBQ,spotify:track:6q8onrzcka32nGVrnWYGBQ,https://api.spotify.com/v1/tracks/6q8onrzcka32nGVrnWYGBQ,https://api.spotify.com/v1/audio-analysis/6q8onrzcka32nGVrnWYGBQ,215773,4,mem_3
6bt1R3HFqITysmy3W88M3c,pictures (feat. Kacey Musgraves),0.567,0.542,2,-6.64,1,0.0309,0.309,0.000342,0.0734,0.229,125.16,audio_features,6bt1R3HFqITysmy3W88M3c,spotify:track:6bt1R3HFqITysmy3W88M3c,https://api.spotify.com/v1/tracks/6bt1R3HFqITysmy3W88M3c,https://api.spotify.com/v1/audio-analysis/6bt1R3HFqITysmy3W88M3c,253869,4,mem_3
5EBvHC0SGFJDenBJafqOX4,100 Letters,0.745,0.713,11,-5.129,0,0.0896,0.155,0,0.0653,0.376,110.052,audio_features,5EBvHC0SGFJDenBJafqOX4,spotify:track:5EBvHC0SGFJDenBJafqOX4,https://api.spotify.com/v1/tracks/5EBvHC0SGFJDenBJafqOX4,https://api.spotify.com/v1/audio-analysis/5EBvHC0SGFJDenBJafqOX4,209980,4,mem_3
6vSmbrcdlXDEkQ8VAHK4Nl,Don't Forget Me,0.382,0.686,3,-8.46,1,0.0484,0.173,0.00193,0.109,0.103,105.247,audio_features,6vSmbrcdlXDEkQ8VAHK4Nl,spotify:track:6vSmbrcdlXDEkQ8VAHK4Nl,https://api.spotify.com/v1/tracks/6vSmbrcdlXDEkQ8VAHK4Nl,https://api.spotify.com/v1/audio-analysis/6vSmbrcdlXDEkQ8VAHK4Nl,313773,4,mem_3
5iq0Tela3gm73ZW72XZ5dm,Baba O'Riley - ConfidentialMX Remix,0.293,0.369,5,-17.075,1,0.0425,0.408,0.62,0.118,0.221,117.652,audio_features,5iq0Tela3gm73ZW72XZ5dm,spotify:track:5iq0Tela3gm73ZW72XZ5dm,https://api.spotify.com/v1/tracks/5iq0Tela3gm73ZW72XZ5dm,https://api.spotify.com/v1/audio-analysis/5iq0Tela3gm73ZW72XZ5dm,153987,4,mem_3
38UCGIpo273uGgdBXbi992,Wonder Woman,0.669,0.653,11,-5.675,1,0.0269,0.11,1.58e-05,0.0826,0.528,104.995,audio_features,38UCGIpo273uGgdBXbi992,spotify:track:38UCGIpo273uGgdBXbi992,https://api.spotify.com/v1/tracks/38UCGIpo273uGgdBXbi992,https://api.spotify.com/v1/audio-analysis/38UCGIpo273uGgdBXbi992,240427,4,mem_3
1r1WtSrPbAOYHE7zwq4eqK,Haunting,0.461,0.696,9,-5.752,0,0.0486,0.015,0.000491,0.21,0.311,180.006,audio_features,1r1WtSrPbAOYHE7zwq4eqK,spotify:track:1r1WtSrPbAOYHE7zwq4eqK,https://api.spotify.com/v1/tracks/1r1WtSrPbAOYHE7zwq4eqK,https://api.spotify.com/v1/audio-analysis/1r1WtSrPbAOYHE7zwq4eqK,260797,4,mem_3
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,audio_features,7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,251034,4,mem_3
2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,0.583,0.301,11,-12.693,0,0.0391,0.815,0.000232,0.0799,0.176,67.448,audio_features,2VlLbhGLVJgdOW7kKdWWFc,spotify:track:2VlLbhGLVJgdOW7kKdWWFc,https://api.spotify.com/v1/tracks/2VlLbhGLVJgdOW7kKdWWFc,https://api.spotify.com/v1/audio-analysis/2VlLbhGLVJgdOW7kKdWWFc,189613,4,mem_3
2ISgPZhbeqTrJFlSOMwrjF,Bound Together,0.534,0.455,11,-12.833,0,0.0608,0.468,0.0271,0.135,0.197,151.864,audio_features,2ISgPZhbeqTrJFlSOMwrjF,spotify:track:2ISgPZhbeqTrJFlSOMwrjF,https://api.spotify.com/v1/tracks/2ISgPZhbeqTrJFlSOMwrjF,https://api.spotify.com/v1/audio-analysis/2ISgPZhbeqTrJFlSOMwrjF,213158,4,mem_3
2hloaUoRonYssMuqLCBLTX,bloodline,0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,audio_features,2hloaUoRonYssMuqLCBLTX,spotify:track:2hloaUoRonYssMuqLCBLTX,https://api.spotify.com/v1/tracks/2hloaUoRonYssMuqLCBLTX,https://api.spotify.com/v1/audio-analysis/2hloaUoRonYssMuqLCBLTX,216893,4,mem_3
49X4TyM1BB1Xmw4P8moJ6p,We Talk all the Time,0.685,0.623,11,-7.124,1,0.0509,0.11,0.00121,0.148,0.446,89.999,audio_features,49X4TyM1BB1Xmw4P8moJ6p,spotify:track:49X4TyM1BB1Xmw4P8moJ6p,https://api.spotify.com/v1/tracks/49X4TyM1BB1Xmw4P8moJ6p,https://api.spotify.com/v1/audio-analysis/49X4TyM1BB1Xmw4P8moJ6p,195315,4,mem_3
3XeqINnregzwBJNg7RyyH4,Why,0.689,0.416,0,-9.247,0,0.0494,0.648,1.64e-06,0.0637,0.248,127.031,audio_features,3XeqINnregzwBJNg7RyyH4,spotify:track:3XeqINnregzwBJNg7RyyH4,https://api.spotify.com/v1/tracks/3XeqINnregzwBJNg7RyyH4,https://api.spotify.com/v1/audio-analysis/3XeqINnregzwBJNg7RyyH4,238173,4,mem_3
4XLu3tTSZiPFVC9mmuR6Zp,All These Years,0.732,0.436,1,-7.409,0,0.117,0.609,0,0.108,0.475,94.852,audio_features,4XLu3tTSZiPFVC9mmuR6Zp,spotify:track:4XLu3tTSZiPFVC9mmuR6Zp,https://api.spotify.com/v1/tracks/4XLu3tTSZiPFVC9mmuR6Zp,https://api.spotify.com/v1/audio-analysis/4XLu3tTSZiPFVC9mmuR6Zp,164373,4,mem_3
