,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
popularity,1.0,0.37999177500370507,0.15753421142948507,0.07344613506944175,0.2287166359327093,-0.2596983736394862,0.3056802191370969,-0.16929121682197548,-0.3525353883969425,0.038916144527979486,0.2272659690975918,-0.05582151980268743,-0.18436781180093298,0.039759315360938734
danceability,0.37999177500370507,1.0,0.26436477871119507,0.23114887413629942,0.23417504037829573,-0.17918491494450595,0.18433912421211754,-0.2751599644359504,-0.12616563899074992,-0.1023652289424892,0.681880330460359,-0.13444218651450351,-0.1547407073643179,-0.12353742906496261
energy,0.15753421142948507,0.26436477871119507,1.0,-0.09516042569121205,0.7906131289660724,-0.1736350519252721,0.24652209697241192,-0.6906628863369607,-0.1979119901458934,0.05637838010136503,0.4613771017829147,0.2513617064606404,-0.02731555207962336,0.013471879681249924
key,0.07344613506944175,0.23114887413629942,-0.09516042569121205,1.0,-0.07796964114337787,-0.045068380045834834,0.03441260208643447,-0.032026401110835656,-0.025000450362323356,-0.23834614519600358,0.049772996950655804,0.1373720819702572,0.0012844832247544814,-0.06769922306936886
loudness,0.2287166359327093,0.23417504037829573,0.7906131289660724,-0.07796964114337787,1.0,-0.06461132005415403,0.05502745280823527,-0.5659760469272309,-0.37392599046202574,0.05346187837984303,0.31414047686164387,0.10677512878099826,0.03147404449095406,-0.09877166424996055
mode,-0.2596983736394862,-0.17918491494450595,-0.1736350519252721,-0.045068380045834834,-0.06461132005415403,1.0,-0.17073043823663137,0.0708270065974613,0.09049783499977043,0.014641081199112189,-0.2042822693934739,-0.019390231358367524,0.19291601540758863,-0.10578482997457309
speechiness,0.3056802191370969,0.18433912421211754,0.24652209697241192,0.03441260208643447,0.05502745280823527,-0.17073043823663137,1.0,-0.08197010655309542,-0.041516462307887955,-0.09844949102035412,0.27115750237177316,0.143309224343356,-0.24709451410346692,-0.09823748761564807
acousticness,-0.16929121682197548,-0.2751599644359504,-0.6906628863369607,-0.032026401110835656,-0.5659760469272309,0.0708270065974613,-0.08197010655309542,1.0,0.11399838541601406,-0.03785771692903955,-0.2708084036828534,-0.3518498983082092,-0.2277309057302381,0.05837904440556697
instrumentalness,-0.3525353883969425,-0.12616563899074992,-0.1979119901458934,-0.025000450362323356,-0.37392599046202574,0.09049783499977043,-0.041516462307887955,0.11399838541601406,1.0,-0.07437383785675304,-0.17969124377463314,0.018074597925944527,-0.11547245758506644,0.14271483519733624
liveness,0.038916144527979486,-0.1023652289424892,0.05637838010136503,-0.23834614519600358,0.05346187837984303,0.014641081199112189,-0.09844949102035412,-0.03785771692903955,-0.07437383785675304,1.0,-0.13262289766433136,-0.12489691881872002,0.130194416668288,0.021556571917874176
valence,0.2272659690975918,0.681880330460359,0.4613771017829147,0.049772996950655804,0.31414047686164387,-0.2042822693934739,0.27115750237177316,-0.2708084036828534,-0.17969124377463314,-0.13262289766433136,1.0,0.07545072401830549,-0.18988638346793374,-0.15641898953978556
tempo,-0.05582151980268743,-0.13444218651450351,0.2513617064606404,0.1373720819702572,0.10677512878099826,-0.019390231358367524,0.143309224343356,-0.3518498983082092,0.018074597925944527,-0.12489691881872002,0.07545072401830549,1.0,-0.05898073121361368,-0.05570581968189147
duration_ms,-0.18436781180093298,-0.1547407073643179,-0.02731555207962336,0.0012844832247544814,0.03147404449095406,0.19291601540758863,-0.24709451410346692,-0.2277309057302381,-0.11547245758506644,0.130194416668288,-0.18988638346793374,-0.05898073121361368,1.0,0.06891228020351851
time_signature,0.039759315360938734,-0.12353742906496261,0.013471879681249924,-0.06769922306936886,-0.09877166424996055,-0.10578482997457309,-0.09823748761564807,0.05837904440556697,0.14271483519733624,0.021556571917874176,-0.15641898953978556,-0.05570581968189147,0.06891228020351851,1.0
