Sr_no,id,name_org,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
81,543bCW2ruMPmxUBWirQ3MR,Cross Me (feat. Chance the Rapper & PnB Rock),Cross Me (Feat. Chance The Rapper & Pnb Rock),83,0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,206187,4,mem_1
82,2b8fOow8UzyDFAE27YhOZM,Memories,Memories,87,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4,mem_1
83,3jtKSUiVDowKNBqVQbWaig,Iktara,Iktara,51,0.616,0.525,7,-7.065,1,0.0258,0.401,0.000484,0.309,0.427,79.976,253773,4,mem_1
84,4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),South Of The Border (Feat. Camila Cabello & Cardi B),88,0.857,0.621,9,-6.376,0,0.0824,0.148,0,0.0865,0.668,97.986,204467,4,mem_1
85,5t3Vk8bRKylx4fjj7qlbib,bitches broken hearts,Bitches Broken Hearts,79,0.777,0.422,0,-10.114,1,0.0482,0.919,0.00877,0.0958,0.187,120.041,176472,4,mem_1
86,60a0Rd6pjrkxjPbaKzXjfq,In the End,In The End,83,0.542,0.853,3,-6.407,0,0.0498,0.0103,0,0.108,0.37,105.256,216933,4,mem_1
87,0LnlTTgv5253a2I287jiuq,Patang,Patang,34,0.295,0.305,7,-7.769,1,0.0306,0.738,5.94E-05,0.104,0.244,127.054,285450,3,mem_1
88,0MHl7k0srcmub4lsesOLQO,Easier,Easier,10,0.489,0.255,6,-12.351,0,0.0418,0.0608,0.00869,0.0559,0.203,139.923,295603,4,mem_1
89,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,I Feel It Coming,79,0.773,0.819,0,-5.946,0,0.118,0.426,0,0.0679,0.585,92.99,269187,4,mem_1
90,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,Baba O'riley,78,0.494,0.722,5,-8.373,1,0.0347,0.287,0.186,0.283,0.156,117.312,300000,4,mem_1
91,4swvQp8fIzN6ZMVaXnXRsr,did you/fall apart,Did You/Fall Apart,45,0.483,0.159,1,-12.708,1,0.0313,0.89,0.2,0.101,0.121,140.316,172299,3,mem_1
92,5WoIz3RtJAsdiDCHzOjo0c,Wakhra Swag (feat. Badshah),Wakhra Swag (Feat. Badshah),46,0.795,0.641,7,-5.73,0,0.242,0.148,2.00E-06,0.0824,0.736,159.91,190500,4,mem_1
93,6NUv0urSLNOQYRqRmd0HjU,Meharbani Teri,Meharbani Teri,9,0.38,0.598,5,-8.04,0,0.0383,0.143,0.00144,0.101,0.27,89.22,386059,4,mem_1
