name,popularity,danceability,energy,valence,tempo,team_member_id
Medicine,4,0.642,0.376,0.0817,110.004,mem_1
Gamble,42,0.551,0.153,0.187,97.823,mem_1
100 Bars & Gunnin,49,0.743,0.753,0.531,94.064,mem_2
9 Carrots,43,0.658,0.645,0.55,79.244,mem_2
Son Of Serpentine,44,0.878,0.821,0.818,164.995,mem_2
Daddy Aioli Interlude,53,0.541,0.483,0.263,107.855,mem_2
Dream Dream Dream,59,0.372,0.555,0.192,64.913,mem_2
Spontaneous,51,0.645,0.791,0.039,114.477,mem_2
Twist Of Fate/ Cobra,42,0.52,0.934,0.317,95.923,mem_2
CAROLMART FEAT. ICE BILLION BERG,57,0.736,0.671,0.505,155.131,mem_2
The Boys Are Back In Town,69,0.853,0.701,0.643,155.069,mem_2
Kids,59,0.635,0.694,0.398,85.809,mem_2
Fast Lane,40,0.591,0.928,0.827,82.03,mem_2
Gravy For Pope,62,0.666,0.673,0.377,148.098,mem_2
EARFQUAKE,86,0.554,0.498,0.413,79.635,mem_2
SPEEDBOAT,70,0.925,0.628,0.81,120.021,mem_2
Sanctuary,83,0.552,0.65,0.316,167.788,mem_2
Panini,93,0.703,0.594,0.475,153.848,mem_2
BULLETPROOF SHOWER CAP,48,0.726,0.735,0.539,77.511,mem_2
Broke As Fuck,79,0.616,0.669,0.275,154.056,mem_2
Lost In Translation,63,0.569,0.791,0.367,156.947,mem_2
I Can't Pretend,32,0.353,0.694,0.343,180.03,mem_2
Breathe,73,0.538,0.52,0.0775,113.081,mem_2
Aliens Are Ghosts ($UICIDEBOY$ X TRAVIS BARKER),66,0.76,0.623,0.598,139.044,mem_2
Nine Shots (Hitler Diss),42,0.895,0.767,0.449,152.995,mem_2
WISH FEAT. KIDDO MARV,66,0.655,0.766,0.622,95.017,mem_2
Lay It Down,42,0.762,0.854,0.546,120.084,mem_2
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),87,0.872,0.814,0.57,98.985,mem_2
Who I Am,47,0.897,0.844,0.801,119.989,mem_2
Fema,42,0.786,0.713,0.54,160.046,mem_2
Richard Simmons,57,0.707,0.691,0.789,169.108,mem_2
Here on My Own,44,0.793,0.51,0.433,120.003,mem_2
50-50 (feat. Instupendo),46,0.623,0.461,0.376,130.02,mem_2
Jesus Is The One (I Got Depression),72,0.857,0.446,0.327,100.122,mem_2
