,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
popularity,1.0,0.25159243013492805,0.09012089433387832,0.11619397456608266,0.31201095157527703,-0.20864849042113953,0.0793292046256787,-0.15093559449540195,-0.06898085450614584,-0.041225825342619406,0.13495196787184005,0.033469052356335814,-0.38317846494312,0.2719130018589238
danceability,0.25159243013492805,1.0,0.07741475961969618,-0.0075157034403738965,0.1481507523207712,-0.23151096203189692,0.04801328610609135,-0.1822105541271734,-0.09114360884854027,-0.09806164747361798,0.4656508352125202,0.08471482763566948,-0.3110443791535951,0.08562433375098295
energy,0.09012089433387832,0.07741475961969618,1.0,0.025598928686837396,0.6332396725401525,-0.025022534171528676,0.17350943823522275,-0.48165867459642114,0.19772470476283577,0.174015702408645,0.30295492492216886,0.12934495381112765,-0.1485894221734888,0.17630831141036954
key,0.11619397456608266,-0.0075157034403738965,0.025598928686837396,1.0,-0.06325988827999032,-0.15439898490262216,0.18539753500873163,-0.06620460886511798,0.18069062670149053,0.02707153563103269,-0.1277830760404937,-0.0064265441613637585,-0.1395507013777163,0.03498145407259503
loudness,0.31201095157527703,0.1481507523207712,0.6332396725401525,-0.06325988827999032,1.0,-0.09900814809715876,-0.03682569158298977,-0.38643050244542115,-0.07676189559134665,-0.11043701157079279,0.15741931071099824,-0.030825652922291714,-0.35085474249310816,0.20335245685369924
mode,-0.20864849042113953,-0.23151096203189692,-0.025022534171528676,-0.15439898490262216,-0.09900814809715876,1.0,0.03303432161154131,0.0538440718843316,0.03112220702401369,-0.05331604868053135,0.03663969469901017,-0.02526211407202313,0.07169260666777161,-0.05154101029454139
speechiness,0.0793292046256787,0.04801328610609135,0.17350943823522275,0.18539753500873163,-0.03682569158298977,0.03303432161154131,1.0,0.03544300848709225,-0.05270588747929312,0.08300381773955555,0.14775093207719775,0.18405645725781047,-0.17363922415952338,0.07953389079796652
acousticness,-0.15093559449540195,-0.1822105541271734,-0.48165867459642114,-0.06620460886511798,-0.38643050244542115,0.0538440718843316,0.03544300848709225,1.0,-0.10447448094117595,0.037996423350825065,-0.09228238951435873,-0.18390988318067297,0.13945826799160627,-0.22835703077001004
instrumentalness,-0.06898085450614584,-0.09114360884854027,0.19772470476283577,0.18069062670149053,-0.07676189559134665,0.03112220702401369,-0.05270588747929312,-0.10447448094117595,1.0,0.10908927777206304,-0.022486844365731198,0.04274698330624046,-0.007067161627620934,-0.09923151890467849
liveness,-0.041225825342619406,-0.09806164747361798,0.174015702408645,0.02707153563103269,-0.11043701157079279,-0.05331604868053135,0.08300381773955555,0.037996423350825065,0.10908927777206304,1.0,-0.0283487912855855,-0.03184148534398386,0.1806507038588737,-0.04887360506621613
valence,0.13495196787184005,0.4656508352125202,0.30295492492216886,-0.1277830760404937,0.15741931071099824,0.03663969469901017,0.14775093207719775,-0.09228238951435873,-0.022486844365731198,-0.0283487912855855,1.0,0.1843441181056934,-0.09954785864046707,0.05808622264961094
tempo,0.033469052356335814,0.08471482763566948,0.12934495381112765,-0.0064265441613637585,-0.030825652922291714,-0.02526211407202313,0.18405645725781047,-0.18390988318067297,0.04274698330624046,-0.03184148534398386,0.1843441181056934,1.0,-0.010015980376637984,0.16704766114766378
duration_ms,-0.38317846494312,-0.3110443791535951,-0.1485894221734888,-0.1395507013777163,-0.35085474249310816,0.07169260666777161,-0.17363922415952338,0.13945826799160627,-0.007067161627620934,0.1806507038588737,-0.09954785864046707,-0.010015980376637984,1.0,-0.025233796983251965
time_signature,0.2719130018589238,0.08562433375098295,0.17630831141036954,0.03498145407259503,0.20335245685369924,-0.05154101029454139,0.07953389079796652,-0.22835703077001004,-0.09923151890467849,-0.04887360506621613,0.05808622264961094,0.16704766114766378,-0.025233796983251965,1.0
